ID;Nombre;Marca;Especie;Etapa_de_Vida;PB(%);EE(%);Ash(%);Humedad(%);FC(%);ENA(%);FC_MS (%);GE(kcal);DE(kcal);ME(kcal);Precio_USD_kg;Ingredientes (5 primeros de la lista);Fuente_PB;Fuente_EE;Fuente_FC;Otros
270;Gatsy ;Purina;Felino ;Adulto;26,00;9,00;9,50;12,00;5,50;38,00;6,25;411,15;338,22;311,18;4,00;Harina proteica, maìz, concentrado proteico soya, grasa animal, acido graso omega 3;"Harina proteica; concentrado proteico soya";grasa animal;maìz;acido graso omega 3
271;Excellent;Purina;Felino ;Cachorro;32,00;20,00;8,00;10,00;2,00;28,00;2,22;493,40;434,30;401,02;13,30;Carne de pollo deshidratada, arroz, proteínas de cerdo deshidratadas, gluten de maíz, grasa animal;"Carne de pollo deshidratada; proteínas de cerdo deshidratadas; gluten de maíz";grasa animal;arroz;—
272;Razza;Agripac;Felino;Esterilizados y control de peso;32,00;10,00;8,00;10,00;3,50;36,50;3,89;440,40;377,15;343,87;5,92;Harina de pollo y/o cerdo, arrocillo, trigo, gluten de maíz,aceite de pollo;"Harina de pollo y/o cerdo; gluten de maíz";aceite de pollo;"arrocillo; trigo";—
273;Lechat Excellence Adult Pollo;Monge;Felino;Adultos;33,00;14,00;7,00;8,00;1,60;36,40;1,74;475,50;421,83;387,51;11,00;Pollo deshidratado, arroz, maíz, grasas animales, pescado deshidratado;"Pollo deshidratado; pescado deshidratado";grasas animales;"arroz; maíz";—
274;Gatuco;Bioalimentar;Felino;Cachorro y adultos;24,00;8,00;9,00;10,00;4,00;45,00;4,44;412,90;350,32;325,36;2,38;Harina de pollo, trigo, maíz, soya, arroz;"Harina de pollo; soya";—;"trigo; maíz; arroz";—
275;Chicken Adult;Bravery;Gato;Adulto;32,00;16,00;8,20;8,00;3,70;32,10;4,02;479,58;409,80;376,52;14,50;Carne de pollo deshidratada, tapioca, grasa de ave, proteína de pollo hidrolizada, guisantes;"Carne de pollo deshidratada; proteína de pollo hidrolizada; guisantes";grasa de ave;tapioca;—
276;Grain-Free Indoor Anti-stress;Brit Care;Gato;Adulto;30,00;13,00;6,80;10,00;4,00;36,20;4,44;458,02;388,60;357,40;13,80;Pollo fresco, guisantes amarillos, pollo deshidratado, manzanas secas, calabaza;"Pollo fresco; pollo deshidratado; guisantes amarillos";—;"manzanas secas; calabaza";—
277;Rocky Mountain;Taste of the Wild;Gato;Todas las etapas;42,00;18,00;8,30;10,00;3,00;18,70;3,33;497,57;430,07;386,39;15,50;Harina de pollo, guisantes, camotes, grasa de pollo, proteína de guisante;"Harina de pollo; guisantes; proteína de guisante";grasa de pollo;camotes;—
278;Indoor Cat;Diamond Naturals;Gato;Adulto;32,00;14,00;7,00;10,00;8,00;29,00;8,89;465,70;365,52;332,24;10,50;Pollo, harina de pollo, arroz blanco integral, cebada perlada, celulosa en polvo;"Pollo; harina de pollo";—;"arroz blanco integral; cebada perlada; celulosa en polvo";—
279;Raw Boost Chicken;Instinct;Gato;Adulto;41,00;21,00;8,50;9,00;3,00;17,50;3,30;515,15;445,53;402,89;28,50;Pollo, harina de pollo, harina de pavo, harina de pescado blanco, guisantes;"Pollo; harina de pollo; harina de pavo; harina de pescado blanco; guisantes";—;—;—
280;Royal Canin Hairball;Royal Canin;Felino ;Adulto ;32,00;13,00;6,00;7,50;8,50;33,00;9,19;474,75;370,59;337,31;16,00;Harina de subproductos de pollo, Maiz, Fibra de Guisante (arveja), Arroz de cervecería y Gluten de Maiz ;"Harina de subproductos de pollo; Gluten de Maiz";—;"Maiz; Fibra de Guisante (arveja); Arroz de cervecería";—
281;Acana Hairball;Acana ;Felino ;Adulto;37,00;14,00;9,00;10,00;6,00;24,00;6,67;465,50;380,16;341,68;16,00;Pollo fresco, pollo deshidratado, arenque deshidratado, avena entera, arvejas enteras;"Pollo fresco; pollo deshidratado; arenque deshidratado; arvejas enteras";—;avena entera;—
282;Eukanuba Hairball;Eukanuba ;Felino ;Adulto;35,00;14,00;7,20;10,00;7,80;26,00;8,67;469,68;370,14;333,74;13,00;Pollo y pavo deshidratado, pollo fresco, patata, arroz blanco, arroz integral;"Pollo y pavo deshidratado; pollo fresco";—;"patata; arroz blanco; arroz integral";—
283;Nutritec Premium;Bioalimentar;Felino;Todas las etapas;31,50;12,00;6,50;10,00;4,00;35,00;4,44;452,25;383,71;350,95;11,00;Harina de sardina, proteína de leche, arroz, gluten de maíz, grasa de pollo;"Harina de sardina; proteína de leche; gluten de maíz";grasa de pollo;arroz;—
284;PAL Gato;Bioalimentar;Felino;Adulto;28,00;8,00;8,50;10,00;4,00;41,50;4,44;421,35;357,49;328,37;36,00;Harina de carne , maíz amarillo, glutén de maíz, harina de soya, grasa de pollo;"Harina de carne; glutén de maíz; harina de soya";grasa de pollo;maíz amarillo;—
285;Félix ;Purina ;Felino ;Adulto ;30,00;10,00;9,50;12,00;4,00;34,50;4,55;422,85;358,15;326,95;5,24;Maíz,harina de soya, gluten de maíz, harina de carne y hueso de res, trigo;"harina de soya; gluten de maíz; harina de carne y hueso de res";—;"Maíz; trigo";—
286;NYD PRIME GRAIN FREE;Con patitas ;Felino ;Adultos ;42,00;20,00;8,90;8,00;1,80;19,30;1,96;513,91;454,31;410,63;17,50;Carne de cordero, proteína de cordero deshidratada, almidón de papa, grasa de pollo, huevo deshidratado;"Carne de cordero; proteína de cordero deshidratada; huevo deshidratado";grasa de pollo;almidón de papa;—
287;MICHU DELICIAS DEL MAR ;MICHU;Felino;Adultos y Cachorros;24,00;8,00;9,00;10,00;4,00;43,90;4,44;408,39;346,50;321,54;5,63;Arrocillo, maíz, pasta de soya, harina de sub productos de atún, afrecho de cerveza ;"pasta de soya; harina de sub productos de atún";—;"Arrocillo; maíz; afrecho de cerveza";—
288;EXCELLENCE LECHAT ESTERILIZADOS/POLL;MONGE;FELINO;ADULTOS;33,00;12,00;6,00;8,00;3,00;38,00;3,26;469,00;405,86;371,54;5,92;Carne de pollo deshidratada, arroz, gluten de maíz, maíz grasa animal, levadura de cerveza ;"Carne de pollo deshidratada; gluten de maíz";grasa animal;"arroz; maíz";levadura de cerveza
289;Taste of the Wild Rocky Mountain Feline;Taste of the Wild;Felino ;Adulto;42,00;18,00;8,30;10,00;3,00;18,70;3,33;497,57;430,07;386,39;7,00;Venado, salmón, harina de pescado, guisantes, proteína de guisante;"Venado; salmón; harina de pescado; guisantes; proteína de guisante";—;—;—
290;Leonardo Adult complete 32/16;Leonardo;Felino ;Adulto ;30,00;12,00;8,00;10,00;3,00;37,00;3,33;447,80;387,05;355,85;8,50;Proteína de ave deshidratada, maíz, grasa de ave, trigo, harina de pescado;"Proteína de ave deshidratada; harina de pescado";grasa de ave;"maíz; trigo";—
