ID;Nombre;Marca;Especie;Etapa_de_Vida;PB(%);EE(%);Ash(%);Humedad(%);FC(%);ENA(%);FC_MS (%);GE(kcal);DE(kcal);ME(kcal);Precio_USD_kg;Ingredientes (5 primeros de la lista);Fuente_PB;Fuente_EE;Fuente_FC;Otros
173;Pug adult;ROYAL CANIN;Canino;Adulto;27,00;16,00;10,10;10,00;3,60;33,30;4,00;455,59;389,44;361,36;21,33;Proteína de ave deshidratadas/Arroz/Maíz/Grasas animales/Hidrolizado de proteínas animales;"Proteína de ave deshidratadas; Hidrolizado de proteínas animales";Grasas animales;"Arroz; Maíz";—
174;ROYAL CANIN ADULT CHIHUAHUA ;ROYAL CANIN;Canino ;Adultos;28,00;14,00;5,10;10,00;2,10;40,80;2,33;467,09;410,40;381,28;27,17;Harina de subproductos de pollo, arroz, maíz, grasa animal y trigo ;Harina de subproductos de pollo;grasa animal;"arroz; maíz; trigo";—
175;Canine obesity management;Royal Canin;Canino ;Adulto;30,00;12,00;20,00;6,00;5,00;27,00;5,32;415,00;346,91;315,71;8,00;Fibra vegetal (celulosa), pulpa de remolacha, proteina de pollo, arroz, cebada, ;proteina de pollo;—;"Fibra vegetal (celulosa); pulpa de remolacha; arroz; cebada";—
176;STARTER MEDIUM;Royal Canin;Canino;Cachorros (destete hasta 2 meses) y Hembras gestantes y en lactancia;30,00;22,00;8,00;12,00;1,30;26,70;1,48;492,60;438,85;407,65;0,53;proteina de aves , arroz, grasa animal , proteina vegetal , maiz;"proteina de aves; proteina vegetal";grasa animal;"arroz; maiz";—
177;DERMACOMFORT ALL SIZES;Royal Canin;Canino ;Adulto;22,00;15,00;7,80;11,00;3,80;40,40;4,27;447,62;380,90;358,02;14,00;Arroz, proteína vegetal purificada L,I,P, (gluten de trigo), harina de trigo, grasas animales (vacuna y/o pollo), harina de gluten de maíz;"proteína vegetal purificada L,I,P, (gluten de trigo); harina de gluten de maíz";grasas animales (vacuna y/o pollo);"Arroz; harina de trigo";—
178;SABUESO ADULTOS;Sabueso;Canino ;Adulto ;18,00;7,00;7,00;11,00;6,00;51,00;6,74;402,10;327,95;309,23;2,67;Maíz, Gluten maíz, Soya, Harina carne;"Gluten maíz; Soya; Harina carne";—;Maíz;—
179;SABUESO CACHORROS;Sabueso;Canino ;Cachorro;28,00;8,00;10,00;12,00;4,00;38,00;4,55;407,00;344,73;315,61;2,50;Maíz, gluten de maíz y/o torta de soya, harina de carne y/o subproductos de pollo, salvado de trigo, cascarilla de soya;"gluten de maíz y/o torta de soya; harina de carne y/o subproductos de pollo";—;"Maíz; salvado de trigo";cascarilla de soya
180;SIEGER REDUCED CALORIE;Sieger;Canino ;Adultos;27,00;5,00;7,00;10,00;6,00;45,00;6,67;410,00;334,83;306,75;0,45;Harina de pollo, maiz, arroz, salvado de trigo, pulpa de remolacha ;Harina de pollo;—;"maiz; arroz; salvado de trigo; pulpa de remolacha";—
181;Supermaxi alimentos para perros ;Supermaxi;Canino ;Adulto;21,00;8,00;8,00;10,00;4,00;49,00;4,44;412,20;349,73;327,89;1,79;Trigo, harina de pollo, maíz, arroz,pasta de soya;"harina de pollo; pasta de soya";—;"Trigo; maíz; arroz";—
182;Bosch SOFT;TALMAX;Canino ;Adulto;21,00;14,00;6,00;19,00;3,00;37,00;3,70;415,30;356,76;334,92;9,33;Pollo fresco, banana deshidratada, harina de papa, almidon de papa, proteina de papa;"Pollo fresco; proteina de papa";—;"banana deshidratada; harina de papa; almidon de papa";—
183;Belcan Adulto;Vitalcan;Canino ;Adultos ;18,00;12,00;4,00;7,00;4,00;55,00;4,30;457,30;388,93;370,21;8,50;Harina de carne, Harinae pollo, Aceite de pollo, Hidrolizado proteico de pollo, Hrina de pescado, Harina de trigo ;"Harina de carne; Harinae pollo; Hidrolizado proteico de pollo; Hrina de pescado";Aceite de pollo;Harina de trigo;—
184;Belcan Junior;Vitalcan;Canino ;Adultos Razas medianas y grandes;21,00;10,00;4,00;10,00;4,00;51,00;4,44;439,20;372,64;350,80;9,00;Harina de carne y hueso bovino, maíz, Harina de pollo, trigo, arroz;"Harina de carne y hueso bovino; Harina de pollo";—;"maíz; trigo; arroz";—
185;HOP! perros adultos razas medianas y grandes;Vitalcan;Canino ;Adulto;21,00;10,00;4,00;10,00;4,00;51,00;4,44;439,20;372,64;350,80;9,00;Maiz, harina de carne, arvejas, harina de soja, arroz, harina de pollo;"harina de carne; arvejas; harina de soja; harina de pollo";—;"Maiz; arroz";—
186;Nurique Mother baby dog;Vitalcan;Canino;Adulto;32,00;8,00;2,00;16,00;6,00;36,00;7,14;429,80;348,08;314,80;6,00;Pollo deshodratado, arroz, maiz grasa de pollo, proteina de pescado, pulpa de remolacha;"Pollo deshodratado; proteina de pescado";grasa de pollo;"arroz; maiz; pulpa de remolacha";—
187;PREMIUM PERROS CACHORROS VITALCAN;Vitalcan;Canino ;Cachorro;25,00;15,00;7,50;10,00;4,00;38,50;4,44;457,75;388,38;362,38;5,00;Harina de carne y hueso bovino, trigo, harina de vísceras de pollo, maíz, concentrado proteico de soja;"Harina de carne y hueso bovino; harina de vísceras de pollo; concentrado proteico de soja";—;"trigo; maíz";—
188;Premium;Vitalcan;Canino ;Adultos;24,00;14,00;9,00;10,00;3,50;39,50;3,89;444,70;380,84;355,88;7,04;Harina de carne y hueso bovino, maíz, harina de visceras de pollo, trigo;"Harina de carne y hueso bovino; harina de visceras de pollo";—;"maíz; trigo";—
189;Premium Perro Adulto Raza Pequeña;Vitalcan;Canino ;Adultos raza pequeña;25,00;15,00;8,00;10,00;3,50;38,50;3,89;455,70;390,26;364,26;6,00;Harina de vísceras de pollo, maíz, harina de carne y hueso bovino, trigo,;"Harina de vísceras de pollo; harina de carne y hueso bovino";—;"maíz; trigo";—
190;WELLNESS Cachorros Razas Medianas y Grandes;Wellnes (Wellnes Pet Food);Canino ;Cachorro;28,00;13,00;9,50;10,00;4,00;35,50;4,44;443,75;376,50;347,38;8,40;Harina de salmón, harina de pollo, almidón de yuca, aceite de pollo, hidrolizado de pollo y cerdo ;"Harina de salmón; harina de pollo; hidrolizado de pollo y cerdo";aceite de pollo;almidón de yuca;—
191;NATURAL WOODLAND WILD IBERIAN DIET;Wild Iberian DIet;Canino;Todas las edades;30,00;17,00;7,50;9,00;3,50;33,00;3,85;480,45;411,75;380,55;15,00;Carne deshidratada de cerdo ibérico, Arroz integral, Guisantes, Arroz molido, Carne fresca de Jabalí;"Carne deshidratada de cerdo ibérico; Guisantes; Carne fresca de Jabalí";—;"Arroz integral; Arroz molido";—
192;Winner Plus Junior;Winner Plus;Canino ;Cachorro;29,00;19,00;6,50;10,00;2,90;32,60;3,22;489,45;423,83;393,67;6,60;Pollo deshidratado, arroz, grasa animal, salmos deshidratado y pulpa de remolacha;"Pollo deshidratado; salmos deshidratado";grasa animal;"arroz; pulpa de remolacha";—
193;Winner Plus Salmon y Potato Holistis;Winner Plus;Canino ;Adultos todas las razas;24,00;14,00;5,90;10,00;2,40;43,70;2,67;457,41;399,72;374,76;6,25;"Salmón 41%; patata deshidratada; almidón de patata; grasa animal; pulpa de remolacha azucarera deshidratada";Salmón 41%;grasa animal;"patata deshidratada; almidón de patata; pulpa de remolacha azucarera deshidratada";—
194;SPECIAL DOG EXCELLENCE MEDIUN ADULT MONOPROTEIN PORK;;Canino ;Adulto (razas medianas);24,00;12,00;7,00;10,00;3,00;44,00;3,33;442,30;382,29;357,33;3,50;Carne de cerdo deshidratada, arroz, maíz, grasa animal, pulpa de remolacha, levaduras, vitaminas y minerales;Carne de cerdo deshidratada;grasa animal;"arroz; maíz; pulpa de remolacha";"levaduras; vitaminas; minerales"
195;SPECIAL DOG EXCELLENCE ALL BREEDS PUPPY & JUNIOR CHIKEN;;Canino ;Cachorro;28,00;14,00;7,50;10,00;2,50;38,00;2,78;457,25;398,85;369,73;3,80;Pollo deshidratado, arroz, maíz, grasa animal, huevo en polvo, pulpa de remolacha, vitaminas y minerales;"Pollo deshidratado; huevo en polvo";grasa animal;"arroz; maíz; pulpa de remolacha";"vitaminas; minerales"
196;El Artesanal Alimento para perros adultos ;;Canino ;Adulto;20,00;10,00;8,00;12,00;4,00;46,00;4,55;413,00;349,81;329,01;2,50;Carne de pollo, arroz, vegetales (zanahoria), grasa animal, vísceras, vitaminas y minerales;"Carne de pollo; vísceras";grasa animal;"arroz; vegetales (zanahoria)";"vitaminas; minerales"
197;El Artesanal Alimento para perros cachorros ;;Canino ;Cachorro;26,00;12,00;7,00;12,00;3,00;40,00;3,41;437,30;377,50;350,46;2,80;Carne de pollo, arroz, huevo, grasa animal, vegetales, vitaminas y minerales;"Carne de pollo; huevo";grasa animal;"arroz; vegetales";"vitaminas; minerales"
198;SP ADULTE 28/18 MINI DOG;;Canino ;Adulto (razas pequeñas);28,00;18,00;6,50;10,00;2,50;35,00;2,78;482,55;420,92;391,80;8,00;Pollo deshidratado, arroz, grasa animal, proteína vegetal, pulpa de remolacha, vitaminas y minerales;"Pollo deshidratado; proteína vegetal";grasa animal;"arroz; pulpa de remolacha";"vitaminas; minerales"
199;SP LAMB AND RICE;;Canino ;Adulto;32,00;18,00;6,50;10,00;2,50;31,00;2,78;488,95;426,50;393,22;4,70;Cordero deshidratado, arroz, grasa animal, proteína vegetal, pulpa de remolacha, vitaminas y minerales;"Cordero deshidratado; proteína vegetal";grasa animal;"arroz; pulpa de remolacha";"vitaminas; minerales"
200;RINGO + PRO CACHORROS;;Canino ;Cachorro;28,00;12,00;10,00;10,00;3,00;37,00;3,33;436,40;377,20;348,08;2,00;Harina de carne y/o harina de pollo, levadura, gluten de maíz, harina de trigo y/o arroz molido y/o trigo molido, torta de soya;"Harina de carne y/o harina de pollo; gluten de maíz; torta de soya";—;harina de trigo y/o arroz molido y/o trigo molido;levadura
201;Balanced Gato Adulto;Vitalcan Balanced;Felino;Adulto (1–7 años);30,00;12,00;7,00;10,00;3,00;38,00;3,33;451,90;390,59;359,39;13,50;Harina de pollo, arroz, maíz, gluten de maíz, grasa animal;"Harina de pollo; gluten de maíz";grasa animal;"arroz; maíz";—
202;Ownat Grain Free Gato Adulto Pollo y Pavo;Ownat;Felino;Adulto;40,00;20,00;9,00;8,00;2,50;20,50;2,72;510,30;445,56;403,96;9,90;Pollo fresco, pavo fresco, pollo deshidratado, mandioca, guisantes;"Pollo fresco; pavo fresco; pollo deshidratado; guisantes";—;mandioca;—
203;Cat Chow;Purina;Felino;Adulto ;31,00;10,00;9,90;12,00;3,50;33,60;3,98;422,81;361,56;329,32;12,20;Maiz, harinas proteicas, trigo, soya, gluten de maíz ;"harinas proteicas; soya; gluten de maíz";—;"Maiz; trigo";—
204;Royal Canin Indoor;Royal Canin;Felino ;Adulto  ;27,00;13,00;7,00;8,00;4,00;41,00;4,35;460,60;391,43;363,35;26,18;Maiz, proteinas de ave deshidratadas, arroz, aislado de proteínas vegetales, trigo;"proteinas de ave deshidratadas; aislado de proteínas vegetales";—;"Maiz; arroz; trigo";—
205;Avant Premium Gatitos;Pronaca;Felino ;Cachorros;38,00;16,00;9,00;10,00;3,50;23,50;3,89;477,70;409,10;369,58;5,20;Carne de pollo y/o cerdo, harina de pollo, maíz, grasa animal y/o vegetal, proteína de maíz;"Carne de pollo y/o cerdo; harina de pollo; proteína de maíz";grasa animal y/o vegetal;maíz;—
206;Avant Premium Gatos;Pronaca;Felino ;Adulto;36,00;15,00;8,50;10,00;4,00;26,50;4,44;471,25;399,83;362,39;5,08;Carne de pollo y/o cerdo, harina de pollo, arroz, maíz, grasa animal y/o vegetal;"Carne de pollo y/o cerdo; harina de pollo";grasa animal y/o vegetal;"arroz; maíz";—
207;ProCat Care ;Pronaca;Felino ;Adultos;32,00;10,00;8,50;12,00;5,00;32,50;5,68;430,15;357,35;324,07;3,91;Harina de pollo y/o cerdo, arroz, maíz y/o trigo, proteína de maíz, grasa animal y/o vegetal;"Harina de pollo y/o cerdo; proteína de maíz";grasa animal y/o vegetal;"arroz; maíz y/o trigo";—
208;NutraPro;Agripac;Felino;Adultos;32,00;12,00;8,00;12,00;3,50;32,50;3,98;442,80;378,65;345,37;8,50;Harina de pollo,arroz,gluten de maiz, Nucleo Nutra Pro Opticat Gatos;"Harina de pollo; gluten de maiz";—;arroz;Nucleo Nutra Pro Opticat Gatos
209;Michu Pollo;Agripac;Felino ;Adultos;24,00;8,00;9,00;10,00;4,00;45,00;4,44;412,90;350,32;325,36;6,20;Arrocillo,Pasta de soya,Harina de pollo,maiz,Grano de soya;"Pasta de soya; Harina de pollo; Grano de soya";—;"Arrocillo; maiz";—
210;Chiki ;Pronaca;Felino;Adulto;35,00;15,00;8,00;10,00;4,00;28,00;4,44;471,70;400,21;363,81;30,00;Harina de carne de pollo, Subproductos de cereales, aceites vegetales, prebioticos ;Harina de carne de pollo;aceites vegetales;Subproductos de cereales;prebioticos
211;NutraPro;Agripac;Felino;Cachorros;32,00;12,00;8,00;12,00;3,50;32,50;3,98;442,80;378,65;345,37;28,71;Harina de pollo, arroz, maíz, gluten de maíz, grasa animal;"Harina de pollo; gluten de maíz";grasa animal;"arroz; maíz";—
212;Wiskas ;Mars incorporated ;Felino;Adulto ;30,00;12,00;8,50;12,00;4,00;33,50;4,55;437,55;370,60;339,40;5,50;Maíz, gluten de maíz, harina de subproductos de pollo, harina de soya, grasa animal ;"gluten de maíz; harina de subproductos de pollo; harina de soya";grasa animal;Maíz;—
213;Ferguz;albex;Felino ;Adultos/ Cachorros;28,00;10,00;9,00;12,00;4,50;36,50;5,11;421,70;353,75;324,63;4,20;Maíz,harina de carne y hueso,gluten de maiz, harina de soya, trigo ;"harina de carne y hueso; gluten de maiz; harina de soya";—;"Maíz; trigo";—
214;Wellness;Agripac;Felino ;Adultos;16,00;14,00;9,00;10,00;4,00;47,00;4,44;431,90;366,44;349,80;19,60;Harina de salmón , harina de pollo, harina de arveja , huevo en polvo,harina de calamar;"Harina de salmón; harina de pollo; harina de arveja; huevo en polvo; harina de calamar";—;—;—
215;Nutrique Ultra premium;Vitalcan ;Felino ;Adultos;34,00;15,00;8,00;8,00;3,50;31,50;3,80;478,30;410,19;374,83;12,50;Harina de pavo , arroz, hidrolizado de higadoporcino deshidratado , arvejas secas , cebada ;"Harina de pavo; hidrolizado de higadoporcino deshidratado; arvejas secas";—;"arroz; cebada";—
